train_name,route,temperature,weather,day_of_week,holiday,delay_minutes
Ruhunu Kumari,Matara - Maradana,32,Sunny,Friday,Yes,25
Ruhunu Kumari,Matara - Maradana,33,Sunny,Saturday,No,20
Ruhunu Kumari,Matara - Maradana,31,Rainy,Saturday,No,17
Ruhunu Kumari,Matara - Maradana,29,Rainy,Saturday,No,51
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Saturday,No,22
Ruhunu Kumari,Matara - Maradana,31,Rainy,Saturday,No,54
Ruhunu Kumari,Matara - Maradana,30,Rainy,Saturday,Yes,39
Ruhunu Kumari,Matara - Maradana,28,Rainy,Saturday,No,41
Ruhunu Kumari,Matara - Maradana,32,Rainy,Saturday,Yes,51
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Saturday,No,32
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Saturday,No,11
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Saturday,No,33
Ruhunu Kumari,Matara - Maradana,32,Sunny,Saturday,No,35
Ruhunu Kumari,Matara - Maradana,28,Sunny,Saturday,Yes,33
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Saturday,No,11
Ruhunu Kumari,Matara - Maradana,30,Sunny,Saturday,No,30
Ruhunu Kumari,Matara - Maradana,29,Rainy,Saturday,No,56
Ruhunu Kumari,Matara - Maradana,28,Sunny,Saturday,No,35
Ruhunu Kumari,Matara - Maradana,30,Windy,Saturday,No,20
Ruhunu Kumari,Matara - Maradana,33,Sunny,Saturday,Yes,12
Ruhunu Kumari,Matara - Maradana,31,Rainy,Saturday,No,35
Ruhunu Kumari,Matara - Maradana,32,Sunny,Saturday,No,19
Ruhunu Kumari,Matara - Maradana,33,Rainy,Saturday,No,20
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Saturday,No,31
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Saturday,No,37
Ruhunu Kumari,Matara - Maradana,33,Rainy,Saturday,No,57
Ruhunu Kumari,Matara - Maradana,34,Sunny,Saturday,Yes,24
Ruhunu Kumari,Matara - Maradana,28,Sunny,Saturday,No,34
Ruhunu Kumari,Matara - Maradana,34,Rainy,Saturday,No,56
Ruhunu Kumari,Matara - Maradana,30,Rainy,Saturday,No,15
Ruhunu Kumari,Matara - Maradana,29,Rainy,Saturday,No,21
Ruhunu Kumari,Matara - Maradana,31,Windy,Saturday,No,27
Ruhunu Kumari,Matara - Maradana,29,Rainy,Saturday,No,26
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Saturday,No,11
Ruhunu Kumari,Matara - Maradana,30,Sunny,Saturday,No,21
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Saturday,Yes,11
Ruhunu Kumari,Matara - Maradana,32,Sunny,Saturday,No,36
Ruhunu Kumari,Matara - Maradana,32,Rainy,Saturday,Yes,33
Ruhunu Kumari,Matara - Maradana,32,Rainy,Saturday,No,39
Ruhunu Kumari,Matara - Maradana,28,Sunny,Saturday,No,22
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Saturday,No,14
Ruhunu Kumari,Matara - Maradana,32,Sunny,Saturday,No,17
Ruhunu Kumari,Matara - Maradana,32,Rainy,Saturday,No,34
Ruhunu Kumari,Matara - Maradana,34,Sunny,Saturday,No,16
Ruhunu Kumari,Matara - Maradana,31,Rainy,Saturday,No,20
Ruhunu Kumari,Matara - Maradana,30,Sunny,Saturday,No,16
Ruhunu Kumari,Matara - Maradana,32,Sunny,Saturday,No,35
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Saturday,No,27
Ruhunu Kumari,Matara - Maradana,34,Sunny,Saturday,No,17
Ruhunu Kumari,Matara - Maradana,30,Rainy,Saturday,No,34
Ruhunu Kumari,Matara - Maradana,30,Sunny,Saturday,No,37
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Sunday,No,14
Ruhunu Kumari,Matara - Maradana,32,Rainy,Sunday,No,51
Ruhunu Kumari,Matara - Maradana,33,Sunny,Sunday,No,37
Ruhunu Kumari,Matara - Maradana,32,Sunny,Sunday,No,23
Ruhunu Kumari,Matara - Maradana,28,Sunny,Sunday,No,10
Ruhunu Kumari,Matara - Maradana,33,Rainy,Sunday,No,15
Ruhunu Kumari,Matara - Maradana,31,Rainy,Sunday,No,17
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Sunday,No,20
Ruhunu Kumari,Matara - Maradana,30,Rainy,Sunday,Yes,57
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Sunday,No,17
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Sunday,No,40
Ruhunu Kumari,Matara - Maradana,29,Sunny,Sunday,No,38
Ruhunu Kumari,Matara - Maradana,32,Sunny,Sunday,No,13
Ruhunu Kumari,Matara - Maradana,31,Sunny,Sunday,No,18
Ruhunu Kumari,Matara - Maradana,28,Sunny,Sunday,No,21
Ruhunu Kumari,Matara - Maradana,32,Sunny,Sunday,No,14
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Sunday,Yes,28
Ruhunu Kumari,Matara - Maradana,34,Sunny,Sunday,No,29
Ruhunu Kumari,Matara - Maradana,34,Sunny,Sunday,No,29
Ruhunu Kumari,Matara - Maradana,32,Cloudy,Sunday,No,12
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Sunday,No,34
Ruhunu Kumari,Matara - Maradana,29,Sunny,Sunday,No,24
Ruhunu Kumari,Matara - Maradana,30,Sunny,Sunday,No,28
Ruhunu Kumari,Matara - Maradana,30,Cloudy,Sunday,No,39
Ruhunu Kumari,Matara - Maradana,32,Sunny,Sunday,No,31
Ruhunu Kumari,Matara - Maradana,32,Rainy,Sunday,No,25
Ruhunu Kumari,Matara - Maradana,28,Cloudy,Sunday,No,10
Ruhunu Kumari,Matara - Maradana,33,Rainy,Sunday,No,26
Ruhunu Kumari,Matara - Maradana,31,Sunny,Sunday,Yes,20
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Sunday,No,40
Ruhunu Kumari,Matara - Maradana,33,Rainy,Sunday,No,20
Ruhunu Kumari,Matara - Maradana,32,Windy,Sunday,No,39
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Sunday,No,22
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Sunday,No,40
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Sunday,No,36
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Sunday,Yes,33
Ruhunu Kumari,Matara - Maradana,34,Sunny,Sunday,No,14
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Sunday,No,16
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Sunday,No,32
Ruhunu Kumari,Matara - Maradana,33,Rainy,Sunday,No,25
Ruhunu Kumari,Matara - Maradana,34,Cloudy,Sunday,Yes,20
Ruhunu Kumari,Matara - Maradana,29,Cloudy,Sunday,Yes,14
Ruhunu Kumari,Matara - Maradana,32,Sunny,Sunday,No,28
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Sunday,Yes,36
Ruhunu Kumari,Matara - Maradana,33,Sunny,Sunday,No,33
Ruhunu Kumari,Matara - Maradana,31,Cloudy,Sunday,No,37
Ruhunu Kumari,Matara - Maradana,32,Rainy,Sunday,No,33
Ruhunu Kumari,Matara - Maradana,30,Sunny,Sunday,No,13
Ruhunu Kumari,Matara - Maradana,29,Sunny,Sunday,Yes,22
Ruhunu Kumari,Matara - Maradana,33,Cloudy,Sunday,No,38
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Monday,No,11
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Monday,No,7
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Monday,No,21
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Monday,No,17
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Monday,No,14
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Monday,No,5
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Monday,No,26
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Monday,No,29
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Monday,No,44
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Monday,No,62
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Monday,No,1
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Monday,No,15
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Monday,No,1
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Monday,No,18
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Monday,No,44
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Monday,No,7
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Monday,No,22
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Monday,No,26
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Monday,No,27
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Monday,No,21
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Monday,No,4
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Monday,No,23
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Monday,No,27
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Monday,No,28
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Monday,No,26
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Monday,No,20
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Monday,No,28
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Monday,No,1
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Monday,No,60
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Monday,No,14
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Monday,No,22
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Monday,No,45
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Monday,No,10
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Monday,No,30
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Monday,No,15
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Monday,No,21
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Monday,Yes,17
Rajarata Rejini,Colombo - Vavuniya,31,Rainy,Monday,Yes,53
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Monday,No,24
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Monday,No,32
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Monday,No,23
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Monday,No,22
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Monday,No,8
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Monday,No,15
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Monday,No,35
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Monday,No,4
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Monday,No,19
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Monday,No,19
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Monday,No,48
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Monday,No,4
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Tuesday,No,7
Rajarata Rejini,Colombo - Vavuniya,28,Windy,Tuesday,Yes,16
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Tuesday,No,59
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Tuesday,Yes,16
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Tuesday,No,21
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Tuesday,No,12
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Tuesday,No,10
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Tuesday,No,22
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Tuesday,No,4
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Tuesday,No,15
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Tuesday,No,63
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Tuesday,No,10
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Tuesday,No,11
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Tuesday,No,17
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Tuesday,No,0
Rajarata Rejini,Colombo - Vavuniya,29,Windy,Tuesday,No,28
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Tuesday,No,59
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Tuesday,No,0
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Tuesday,No,30
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Tuesday,No,13
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Tuesday,No,57
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Tuesday,No,26
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Tuesday,No,30
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Tuesday,No,3
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Tuesday,No,18
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Tuesday,No,12
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Tuesday,No,29
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Tuesday,No,26
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Tuesday,No,17
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Tuesday,No,56
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Tuesday,No,29
Rajarata Rejini,Colombo - Vavuniya,27,Windy,Tuesday,No,22
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Tuesday,No,21
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Tuesday,Yes,30
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Tuesday,No,2
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Tuesday,No,26
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Tuesday,Yes,9
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Tuesday,No,6
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Tuesday,No,13
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Tuesday,No,14
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Tuesday,No,35
Rajarata Rejini,Colombo - Vavuniya,31,Windy,Tuesday,Yes,26
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Tuesday,No,24
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Tuesday,No,21
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Tuesday,No,9
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Tuesday,No,20
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Tuesday,No,26
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Tuesday,No,15
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Tuesday,No,11
Rajarata Rejini,Colombo - Vavuniya,27,Windy,Tuesday,No,1
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Wednesday,No,9
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Wednesday,No,8
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Wednesday,No,22
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Wednesday,No,4
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Wednesday,No,27
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Wednesday,Yes,25
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Wednesday,No,19
Rajarata Rejini,Colombo - Vavuniya,30,Windy,Wednesday,No,30
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Wednesday,No,0
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Wednesday,No,45
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Wednesday,No,37
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Wednesday,No,15
Rajarata Rejini,Colombo - Vavuniya,31,Rainy,Wednesday,No,29
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Wednesday,No,63
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Wednesday,No,23
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Wednesday,No,22
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Wednesday,No,17
Rajarata Rejini,Colombo - Vavuniya,29,Windy,Wednesday,Yes,19
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Wednesday,No,30
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Wednesday,No,57
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Wednesday,No,12
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Wednesday,Yes,6
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Wednesday,No,26
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Wednesday,No,36
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Wednesday,No,10
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Wednesday,No,8
Rajarata Rejini,Colombo - Vavuniya,31,Rainy,Wednesday,No,59
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Wednesday,No,64
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Wednesday,No,22
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Wednesday,No,21
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Wednesday,No,25
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Wednesday,Yes,17
Rajarata Rejini,Colombo - Vavuniya,31,Windy,Wednesday,No,24
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Wednesday,No,35
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Wednesday,No,1
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Wednesday,No,13
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Wednesday,No,30
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Wednesday,No,3
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Wednesday,No,10
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Wednesday,No,15
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Wednesday,Yes,0
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Wednesday,No,30
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Wednesday,No,52
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Wednesday,No,16
Rajarata Rejini,Colombo - Vavuniya,30,Windy,Wednesday,No,26
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Wednesday,No,9
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Wednesday,No,9
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Wednesday,No,10
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Wednesday,No,19
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Wednesday,No,25
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Thursday,No,3
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Thursday,No,27
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Thursday,No,44
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Thursday,No,1
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Thursday,No,54
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Thursday,No,30
Rajarata Rejini,Colombo - Vavuniya,32,Windy,Thursday,No,11
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Thursday,No,43
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Thursday,No,56
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Thursday,No,2
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Thursday,Yes,4
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Thursday,No,53
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Thursday,No,30
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Thursday,No,17
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Thursday,Yes,20
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Thursday,No,15
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Thursday,No,10
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Thursday,No,11
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Thursday,Yes,44
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Thursday,No,26
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Thursday,Yes,13
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Thursday,No,21
Rajarata Rejini,Colombo - Vavuniya,33,Windy,Thursday,No,19
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Thursday,No,1
Rajarata Rejini,Colombo - Vavuniya,33,Windy,Thursday,Yes,10
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Thursday,No,13
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Thursday,No,3
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Thursday,No,11
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Thursday,No,56
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Thursday,No,21
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Thursday,No,3
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Thursday,No,37
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Thursday,No,40
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Thursday,Yes,7
Rajarata Rejini,Colombo - Vavuniya,30,Windy,Thursday,No,11
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Thursday,No,17
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Thursday,No,27
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Thursday,Yes,62
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Thursday,No,46
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Thursday,No,15
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Thursday,No,43
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Thursday,No,23
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Thursday,No,12
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Thursday,No,13
Rajarata Rejini,Colombo - Vavuniya,33,Windy,Thursday,No,6
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Thursday,No,9
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Thursday,No,11
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Thursday,No,1
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Thursday,No,28
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Thursday,No,14
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Friday,Yes,22
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Friday,Yes,2
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Friday,No,13
Rajarata Rejini,Colombo - Vavuniya,33,Rainy,Friday,No,54
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Friday,No,6
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Friday,No,31
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Friday,Yes,26
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Friday,No,3
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Friday,No,17
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Friday,No,15
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Friday,Yes,15
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Friday,No,14
Rajarata Rejini,Colombo - Vavuniya,29,Windy,Friday,No,16
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Friday,Yes,18
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Friday,Yes,21
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Friday,No,18
Rajarata Rejini,Colombo - Vavuniya,29,Sunny,Friday,No,8
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Friday,No,25
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Friday,No,18
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Friday,No,19
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Friday,Yes,4
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Friday,No,14
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Friday,Yes,20
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Friday,Yes,14
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Friday,No,20
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Friday,No,13
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Friday,No,23
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Friday,No,30
Rajarata Rejini,Colombo - Vavuniya,29,Rainy,Friday,No,54
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Friday,No,14
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Friday,No,19
Rajarata Rejini,Colombo - Vavuniya,30,Sunny,Friday,No,28
Rajarata Rejini,Colombo - Vavuniya,28,Windy,Friday,No,5
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Friday,No,18
Rajarata Rejini,Colombo - Vavuniya,28,Rainy,Friday,No,36
Rajarata Rejini,Colombo - Vavuniya,31,Rainy,Friday,No,49
Rajarata Rejini,Colombo - Vavuniya,28,Cloudy,Friday,No,16
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Friday,No,10
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Friday,No,29
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Friday,No,8
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Friday,No,30
Rajarata Rejini,Colombo - Vavuniya,30,Rainy,Friday,No,48
Rajarata Rejini,Colombo - Vavuniya,32,Windy,Friday,No,13
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Friday,No,0
Rajarata Rejini,Colombo - Vavuniya,27,Cloudy,Friday,No,17
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Friday,No,54
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Friday,Yes,43
Rajarata Rejini,Colombo - Vavuniya,28,Sunny,Friday,No,14
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Friday,No,24
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Friday,No,28
Rajarata Rejini,Colombo - Vavuniya,31,Cloudy,Saturday,No,30
Rajarata Rejini,Colombo - Vavuniya,32,Rainy,Saturday,No,63
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Saturday,No,45
Rajarata Rejini,Colombo - Vavuniya,32,Cloudy,Saturday,No,16
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Saturday,No,44
Rajarata Rejini,Colombo - Vavuniya,30,Cloudy,Saturday,No,37
Rajarata Rejini,Colombo - Vavuniya,33,Sunny,Saturday,No,38
Rajarata Rejini,Colombo - Vavuniya,31,Sunny,Saturday,No,32
Rajarata Rejini,Colombo - Vavuniya,31,Rainy,Saturday,No,42
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Saturday,Yes,29
Rajarata Rejini,Colombo - Vavuniya,33,Cloudy,Saturday,No,28
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Saturday,No,38
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Saturday,Yes,26
Rajarata Rejini,Colombo - Vavuniya,27,Sunny,Saturday,No,14
Rajarata Rejini,Colombo - Vavuniya,29,Cloudy,Saturday,No,18
Rajarata Rejini,Colombo - Vavuniya,27,Rainy,Saturday,No,22
Rajarata Rejini,Colombo - Vavuniya,32,Sunny,Saturday,No,15
